id,title,firstName,lastName,email,organization,website,about,photoAvailable,name
89,,Lucia,Panizzi,,,http://www.graduate-school-ce.de/index.php?id=128,,False,Lucia Panizzi
90,Dr.,Sabine,Lutz,,Robert Bosch GmbH,,,False,Sabine Lutz
91,Dr.,Cheryce von,Xylander,,,"http://www.philosophie.tu-darmstadt.de/institut/mitarbeiterinnen_1/mitarbeiter_1/vonxylander/start_vonxylander.de.jsp, http://www.philosophie.tu-darmstadt.de/institut/mitarbeiterinnen_1/professoren/a_nordmann/index.de.jsp",,False,Cheryce von Xylander
92,Prof. Dr.,Regina,Bruder,,"FB Mathematik, TU Darmstadt",,,False,Regina Bruder
93,,Nicole,Nowak,,,http://www3.mathematik.tu-darmstadt.de/index.php?id=261,,False,Nicole Nowak
94,Prof. Dr.,Eve-Marie,Engels,,Universität Tübingen,http://www.uni-tuebingen.de/fakultaeten/philosophische-fakultaet/fachbereiche/philosophie-rhetorik-medien/philosophisches-seminar/mitarbeiter/prof-dr-eve-marie-engels.html,,False,Eve-Marie Engels
95,Dr.,Jens,Kertscher,,,http://www.philosophie.tu-darmstadt.de/institut/mitarbeiterinnen_1/mitarbeiter_1/kertscher/oblig.de.jsp,,False,Jens Kertscher
96,Prof. Dr.,Klaus,Wiegerling,,Universität Stuttgart,http://www.uni-stuttgart.de/philo/index.php?id=72,,False,Klaus Wiegerling
97,,Andreas,Hetzel,,,,,False,Andreas Hetzel
98,Prof. Dr.-Ing.,Jörg,Lange,,,http://www.stahlbau.tu-darmstadt.de/fachgebiet/personen/mitarbeiter_details_stahlbau_3905.de.jsp,,False,Jörg Lange
99,Dipl.-Ing.,Heiko,Merle,,,http://www.stahlbau.tu-darmstadt.de/fachgebiet/personen/mitarbeiter_details_stahlbau_3904.de.jsp,,False,Heiko Merle
